a2ps 4.14-10
ack 3.3.1-1
adobe-source-sans-pro-fonts 3.006-2
alacritty 0.4.2-2
alsa-utils 1.2.2-1
ansible 2.9.9-1
apparmor 2.13.4-4
aria2 1.35.0-2
ark 20.04.1-1
artha 1.0.3-8
aspell-en 2019.10.06-1
aspell-ru 0.99f7-7
audacious 4.0.3-1
audacity 1:2.4.0-1
autoconf 2.69-7
automake 1.16.2-1
avocode 4.6.3-1
base 2-2
bash 5.0.016-1
bash-completion 2.10-2
bat 0.15.1-1
binutils 2.34-3
bison 3.6.2-1
bitlbee 3.6-1
bleachbit 4.0.0-2
bluedevil 1:5.18.5-1
breeze 5.18.5-1
breeze-gtk 5.18.5-1
buku 4.3-1
bzip2 1.0.8-3
calcurse 4.6.0-1
calibre 4.16.0-1
ccze 0.2.1-10
claws-mail 3.17.5-2
cmake 3.17.2-2
cmus 2.8.0-3
code 1.45.1-1
colordiff 1.0.18-2
coreutils 8.32-1
cryptsetup 2.3.2-2
cups 2.3.3-1
cups-pdf 3.0.1-5
cyrus-sasl 2.1.27-3
device-mapper 2.02.187-2
dhcpcd 9.0.2-1
dhcping 1.2-3
diff-so-fancy 1.3.0-1
diffmerge 4.2.0.697-1
diffutils 3.7-3
digikam 6.4.0-9
discord 0.0.10-3
discover 5.18.5-1
dolphin 20.04.1-1
drkonqi 5.18.5-1
dstat 0.7.4-4
dvgrab 3.5-8
e2fsprogs 1.45.6-2
ecryptfs-utils 111-3
efibootmgr 17-1
emacs 26.3-2
exa 0.9.0-1
extra-cmake-modules 5.70.0-1
fakeroot 1.24-2
fasd 1.0.1-2
fd 8.1.0-1
feh 3.4-1
figma-linux 0.6.2-2
file 5.38-3
filesystem 2020.05.07-1
filezilla 3.46.3-1
findutils 4.7.0-2
fio 3.19-1
firefox 76.0.1-1
firefox-developer-edition 77.0b7-1
firefox-developer-edition-i18n-ru 77.0b7-1
firefox-i18n-ru 76.0.1-1
flashplugin 32.0.0.371-1
flex 2.6.4-3
fzf 0.21.1-1
gawk 5.1.0-1
gcc 10.1.0-1
gcc-libs 10.1.0-1
gentium-plus-font 5.000-4
gettext 0.20.2-1
gimp 2.10.18-8
git 2.26.2-1
github-cli 0.8.0-1
gitkraken 6.6.0-1
glances 3.1.4.1-1
glibc 2.31-3
gnome-tweaks 3.34.0-3
gnome-web-photo 0.10.6-3
gnu-free-fonts 20120503-8
goldendict 1.5.0RC2-8
goldendict-enruen-content 1.1-1
google-chrome 83.0.4103.61-1
gparted 1.1.0-1
grep 3.4-1
groff 1.22.4-3
grub 2:2.04-7
grub-customizer 5.1.0-1
gst-libav 1.16.2-2
gthumb 3.10.0-1
gufw 20.04.1-1
gvim 8.2.0717-2
gwenview 20.04.1-1
gzip 1.10-3
heroku-cli 7.40.0-1
hexchat 2.14.3-1
htop 2.2.0-3
httpie 2.1.0-1
hub 2.14.2-1
hugo 0.71.0-1
hunspell-en_US 2019.10.06-1
hunspell-ru 20131101-4
hwinfo 21.70-2
icdiff 1.9.5-1
icedtea-web 1.8.3-2
inetutils 1.9.4-8
insomnia 7.1.1-1
intel-ucode 20200508-1
iproute2 5.6.0-1
iputils 20190709-2
irssi 1.2.2-2
jdk-openjdk 13.0.2.u8-1
jfsutils 1.1.15-7
jq 1.6-2
kactivitymanagerd 5.18.5-1
kakoune 2020.01.16-1
kate 20.04.1-1
kcalc 20.04.1-1
kde-cli-tools 5.18.5-1
kde-gtk-config 5.18.5-1
kdecoration 5.18.5-1
kdenlive 20.04.1-1
kdeplasma-addons 5.18.5-1
kdiff3 1.8.2-1
keychain 2.8.5-2
kgamma5 5.18.5-1
khotkeys 5.18.5-1
kinfocenter 5.18.5-1
kitty 0.17.4-1
kmail 20.04.1-1
kmenuedit 5.18.5-1
kmines 20.04.1-1
knetattach 5.18.5-2
koala-bin 2.3.0-3
kodi 18.6-2
konsole 20.04.1-1
konversation 1.7.5-3
krita 4.2.9-4
kscreen 5.18.5-1
kscreenlocker 5.18.5-1
ksshaskpass 5.18.5-1
ksysguard 5.18.5-1
kwallet-pam 5.18.5-1
kwayland-integration 5.18.5-1
kwin 5.18.5-1
kwrited 5.18.5-1
languagetool 4.9.1-1
latte-dock 0.9.11-1
less 551-3
lf-bin 14-2
lftp 4.9.1-1
libcaca 0.99.beta19-3
libkscreen 5.18.5-1
libksysguard 5.18.5-1
libmythes 1:1.2.4-4
libreoffice-fresh 6.4.3-3
libtool 2.4.6+42+gb88cebd5-13
licenses 20200427-1
lightdm 1:1.30.0-3
lightdm-webkit-theme-litarvan 3.1.0-1
linux 5.6.13.arch1-1
linux-firmware 20200421.78c0348-1
linux-lts 5.4.41-1
linux-lts-headers 5.4.41-1
logrotate 3.16.0-1
lshw B.02.19.2-1
lsof 4.93.2-2
ltrace 0.7.3-4
lvm2 2.02.187-2
