aerc 0.20.1-1
asdf-vm 0.16.3-1
base 3-2
base-devel 1-2
bat 0.25.0-4
bed 0.2.7-1
bob 4.0.3-1
btop 1.4.0-5
cmus 2.12.0-2
cronie 1.7.2-1
diff-so-fancy 1.4.4-2
eza 0.20.23-1
fasd 1.0.2-2
fd 10.2.0-1
fzf 0.60.3-1
git 2.48.1-2
git-delta 0.18.2-4
helix 25.01.1-1
htop 3.3.0-3
httpie 3.2.4-1
imagemagick 7.1.1.44-1
intel-ucode 20250211-1
irssi 1.4.5-4
lazygit 0.48.0-1
lf 34-1
libxslt 1.1.42-2
man-pages-ru 4.25.1-1
mutt-wizard 3.3.1-1
nano 8.3-1
neomutt 20250113-1
neovim 0.10.4-2
newsboat 2.38-1
nmap 7.95-1
pacman-contrib 1.11.0-1
paru 2.0.4-1
paru-debug 2.0.4-1
plocate 1.1.23-1
pv 1.9.31-1
qman-git 1.3.1.r7.g65d31b1-1
rate-mirrors-bin 0.19.1-1
reflector 2023-3
rsync 3.4.1-2
strace 6.13-1
sudo 1.9.16.p2-2
tealdeer 1.7.1-1
tk 8.6.16-1
tmux 3.5_a-1
ttf-hack-nerd 3.3.0-1
vim 9.1.1165-1
weechat 4.5.2-1
wget 1.25.0-1
xorg-xset 1.2.5-2
yay 12.4.2-1
yay-debug 12.4.2-1
yazi 25.3.2-1
zoxide 0.9.7-1
zsh 5.9-5
